time,.header.seq,.header.stamp.secs,.header.stamp.nsecs,.header.frame_id,.wrench.force.x,.wrench.force.y,.wrench.force.z,.wrench.torque.x,.wrench.torque.y,.wrench.torque.z
2020/05/26/02:03:44.888793,40780,1590426224,888654306,robotiq_ft_frame_id,-10.720000267,239.229995728,4.19999980927,5.22599983215,2.13499999046,1.32700002193
2020/05/26/02:03:44.905135,40781,1590426224,904962389,robotiq_ft_frame_id,-10.6999998093,239.220001221,4.15999984741,5.22700023651,2.132999897,1.32500004768
2020/05/26/02:03:44.921564,40782,1590426224,921295271,robotiq_ft_frame_id,-10.7100000381,239.199996948,4.26000022888,5.22599983215,2.13400006294,1.32899999619
2020/05/26/02:03:44.937888,40783,1590426224,937624198,robotiq_ft_frame_id,-10.6999998093,239.199996948,4.21999979019,5.22700023651,2.13199996948,1.32799994946
2020/05/26/02:03:44.950027,40784,1590426224,949855452,robotiq_ft_frame_id,-10.720000267,239.309997559,4.19999980927,5.23099994659,2.13499999046,1.3259999752
2020/05/26/02:03:44.966327,40785,1590426224,966178743,robotiq_ft_frame_id,-10.7399997711,239.309997559,4.26000022888,5.22800016403,2.132999897,1.3259999752
2020/05/26/02:03:44.982702,40786,1590426224,982540700,robotiq_ft_frame_id,-10.7399997711,239.339996338,4.21000003815,5.22800016403,2.13499999046,1.32899999619
2020/05/26/02:03:44.999039,40787,1590426224,998913011,robotiq_ft_frame_id,-10.7100000381,239.210006714,4.15999984741,5.22900009155,2.13400006294,1.32700002193
2020/05/26/02:03:45.015326,40788,1590426225,15235554,robotiq_ft_frame_id,-10.7299995422,239.190002441,4.17000007629,5.22800016403,2.13499999046,1.32700002193
2020/05/26/02:03:45.031745,40789,1590426225,31562123,robotiq_ft_frame_id,-10.720000267,239.229995728,4.17000007629,5.22599983215,2.13400006294,1.32799994946
2020/05/26/02:03:45.048107,40790,1590426225,47873691,robotiq_ft_frame_id,-10.6999998093,239.259994507,4.17999982834,5.22800016403,2.13499999046,1.32700002193
2020/05/26/02:03:45.064419,40791,1590426225,64182616,robotiq_ft_frame_id,-10.5900001526,239.229995728,4.26999998093,5.22599983215,2.13000011444,1.3259999752
2020/05/26/02:03:45.080741,40792,1590426225,80509672,robotiq_ft_frame_id,-10.6899995804,239.339996338,4.21000003815,5.23000001907,2.13199996948,1.3259999752
2020/05/26/02:03:45.097007,40793,1590426225,96841813,robotiq_ft_frame_id,-10.7299995422,239.350006104,4.21999979019,5.22900009155,2.13499999046,1.32799994946
2020/05/26/02:03:45.113329,40794,1590426225,113154178,robotiq_ft_frame_id,-10.6800003052,239.259994507,4.23000001907,5.23099994659,2.132999897,1.32799994946
2020/05/26/02:03:45.125529,40795,1590426225,125417901,robotiq_ft_frame_id,-10.6400003433,239.259994507,4.23000001907,5.23000001907,2.13100004196,1.32799994946
2020/05/26/02:03:45.142084,40796,1590426225,141795776,robotiq_ft_frame_id,-10.6700000763,239.259994507,4.19999980927,5.22800016403,2.132999897,1.32700002193
2020/05/26/02:03:45.158403,40797,1590426225,158182323,robotiq_ft_frame_id,-10.7100000381,239.25,4.30000019073,5.22499990463,2.13400006294,1.32700002193
2020/05/26/02:03:45.174675,40798,1590426225,174516657,robotiq_ft_frame_id,-10.7299995422,239.289993286,4.32000017166,5.22700023651,2.13199996948,1.3259999752
2020/05/26/02:03:45.190942,40799,1590426225,190791074,robotiq_ft_frame_id,-10.779999733,239.25,4.19000005722,5.23000001907,2.13599991798,1.32899999619
2020/05/26/02:03:45.207324,40800,1590426225,207103318,robotiq_ft_frame_id,-10.7399997711,239.309997559,4.26000022888,5.23000001907,2.13400006294,1.32799994946
2020/05/26/02:03:45.223585,40801,1590426225,223392659,robotiq_ft_frame_id,-10.7100000381,239.339996338,4.25,5.22900009155,2.132999897,1.32799994946
2020/05/26/02:03:45.239837,40802,1590426225,239678261,robotiq_ft_frame_id,-10.6499996185,239.289993286,4.19999980927,5.22900009155,2.13100004196,1.32799994946
2020/05/26/02:03:45.256123,40803,1590426225,255963148,robotiq_ft_frame_id,-10.6899995804,239.270004272,4.19000005722,5.22800016403,2.13400006294,1.3259999752
2020/05/26/02:03:45.272480,40804,1590426225,272260393,robotiq_ft_frame_id,-10.6499996185,239.270004272,4.26999998093,5.22700023651,2.13100004196,1.32700002193
2020/05/26/02:03:45.288804,40805,1590426225,288570734,robotiq_ft_frame_id,-10.6300001144,239.300003052,4.21000003815,5.23000001907,2.13199996948,1.32899999619
2020/05/26/02:03:45.305052,40806,1590426225,304897470,robotiq_ft_frame_id,-10.6599998474,239.279998779,4.23000001907,5.22800016403,2.132999897,1.32799994946
2020/05/26/02:03:45.317296,40807,1590426225,317154031,robotiq_ft_frame_id,-10.6000003815,239.199996948,4.23000001907,5.22800016403,2.13000011444,1.32799994946
